Model,Release Date,Release Year,Model ID,Cluster ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Casio Cassiopeia E-3000,01-01-03,2003,260,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.186903138,0.352459016,0.073765234,0.030511959,0.028017241,0.17617365
Coxion WebBook Mobile Computer,01-01-03,2003,261,3,0.062471389,0.000523305,0.102590781,0.381294964,0.284552846,0.222222222,0.596180082,0.352459016,0.1533034,0.043166392,0.068965517,0.358909642
CyberBank POZ 0850,01-01-03,2003,262,0,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.179263302,0.32704918,0.071199487,0.043252039,0.050646552,0.390711762
Medion MDPPC 100 (MD7200),01-01-03,2003,263,0,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.197271487,0.29795082,0.031430404,0.013146907,0.0125,0.17617365
MiTAC Mio 728 PDA Phone,01-01-03,2003,264,0,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.189631651,0.360655738,0.101988454,0.039612016,0.026939655,0.17617365
Samsung NEXiO S160 / NEXiO S165,01-01-03,2003,265,1,0.062471389,0.001047635,0.199635034,0.237410072,0.284552846,0.222222222,0.405184175,0.172131148,0.046824888,0.031025844,0.040948276,0.358909642
Sony Clie PEG-NZ90 / PEG-NZ90U,01-01-03,2003,266,0,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.186903138,0.37704918,0.101988454,0.017022461,0.050215517,0.060575467
Symbol PPT 8800,01-01-03,2003,267,0,0.015594958,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.205457026,0.397540984,0.168697883,0.073399996,0.053017241,0.17617365
Yakumo PDA Delta 200,01-01-03,2003,268,0,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.197271487,0.29795082,0.031430404,0.013146907,0.0125,0.17617365
Kyocera 7135,01-02-03,2003.083333,269,0,0.00778222,0.000130058,0.016051319,0.057553957,0.024390244,0.063492063,0.150341064,0.212295082,0.087235407,0.016744106,0.027155172,0.114588592
Motorola A760,01-02-03,2003.083333,270,0,0.00778222,0.000523305,0.099589413,0.057553957,0.056910569,0.142857143,0.126875853,0.209016393,0.095574086,0.019313534,0.012931034,0.295053004
Sony Ericsson P800 / P802 (SE Linnea),01-02-03,2003.083333,271,0,0.00778222,0.000457764,0.077579376,0.09352518,0.043902439,0.142857143,0.14324693,0.270491803,0.133418858,0.029634071,0.02112069,0.207723372
E-TEN InfoTouch P600,01-03-03,2003.166667,272,0,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.200545703,0.352459016,0.076330981,0.032182087,0.032327586,0.17617365
Nokia 3600,01-03-03,2003.166667,273,0,0.003875851,0.000261141,0.051567515,0.028776978,0.030894309,0.087301587,0.137789905,0.331967213,0.127645927,0.008628996,0.015086207,0.469207471
Samsung SPH-i330,01-03-03,2003.166667,274,0,0.00778222,6.45E-05,0.016051319,0.086330935,0.056910569,0.063492063,0.159618008,0.31147541,0.076330981,0.010877246,0.023706897,0.291771832
Samsung SPH-i700,01-03-03,2003.166667,275,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.173260573,0.340163934,0.066709429,0.0232105,0.021982759,0.17617365
Sony Clie PEG-SJ22 / PEG-SJ22U / PEG-SJ2E,01-03-03,2003.166667,276,0,0.00778222,6.45E-05,0.016051319,0.079136691,0.089430894,0.142857143,0.178171896,0.225409836,0.073123797,0.018542706,0.017025862,0.29656739
Sony Clie PEG-TG50 / PEG-TG50U,01-03-03,2003.166667,277,0,0.00778222,0.000261141,0.099589413,0.09352518,0.089430894,0.142857143,0.177626194,0.31557377,0.041051956,0.014709976,0.02112069,0.272084806
Toshiba e750 / e755,01-03-03,2003.166667,278,0,0.031220435,0.001047635,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.307377049,0.057087877,0.022011434,0.030172414,0.152195861
Toshiba Genio e350,01-03-03,2003.166667,279,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.19781719,0.31147541,0.025657473,0.011905017,0.019181034,0.17617365
Acer n20,01-04-03,2003.25,280,0,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.327868852,0.043617704,0.018714001,0.025862069,0.152195861
Acer n20w,01-04-03,2003.25,281,0,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.327868852,0.08659397,0.033316918,0.037715517,0.152195861
Casio Cassiopeia IT-500 M30,01-04-03,2003.25,282,0,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.050510674,0.049568966,0.433619384
Casio Cassiopeia IT-500 M30B,01-04-03,2003.25,283,0,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276,0.17617365
Casio Cassiopeia IT-500 M30CB,01-04-03,2003.25,284,0,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276,0.17617365
Casio Cassiopeia IT-500 M30CR,01-04-03,2003.25,285,0,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.043103448,0.17617365
Casio Cassiopeia IT-500 M30R,01-04-03,2003.25,286,0,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.049568966,0.17617365
Orange SPV E100 (HTC Tanager),01-04-03,2003.25,287,0,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655,0.210499748
Palm Tungsten C,01-04-03,2003.25,288,0,0.031220435,0.000261141,0.199635034,0.09352518,0.089430894,0.142857143,0.195088677,0.295081967,0.069916613,0.015138214,0.025431034,0.26476527
I-Mate Smartphone (HTC Tanager),01-05-03,2003.333333,289,0,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655,0.210499748
MiTAC Mio 339 Digi-Walker,01-05-03,2003.333333,290,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897,0.17617365
MiTAC Mio 8380 Digi-Walker,01-05-03,2003.333333,291,0,0.015594958,0.000523305,0.099589413,0.035971223,0.030894309,0.093253968,0.122783083,0.200819672,0.150737652,0.022546731,0.017887931,0.210499748
NEC MobilePro 900,01-05-03,2003.333333,292,3,0.031220435,0.001047635,0.199635034,0.460431655,0.219512195,0.103174603,0.653478854,0.323770492,0.1533034,0.192814166,0.165948276,0.100706714
Panasonic Toughbook CF-P1,01-05-03,2003.333333,293,3,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.249658936,0.508196721,0.22386145,0.139391474,0.103448276,0.17617365
Asus MyPal A620,01-06-03,2003.416667,294,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897,0.17617365
CyberBank POZ 0870,01-06-03,2003.416667,295,0,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.174624829,0.329918033,0.089159718,0.054985761,0.05237069,0.390711762
E-TEN InfoTouch P603,01-06-03,2003.416667,296,0,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.206002729,0.362295082,0.078896729,0.034944222,0.032327586,0.17617365
Hewlett-Packard iPAQ H1940 / H1945 (HTC Kiwi),01-06-03,2003.416667,297,0,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103,0.17617365
Hewlett-Packard iPAQ H2210 / H2212 / H2212e / H2215 (HTC Great Wall),01-06-03,2003.416667,298,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.190723056,0.272131148,0.059653624,0.019634713,0.018146552,0.17617365
MiTAC Mio 338 Plus Digi-Walker,01-06-03,2003.416667,299,0,0.019501328,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.191814461,0.29795082,0.041051956,0.015566452,0.0125,0.17617365
MiTAC Mio 558 Digi-Walker,01-06-03,2003.416667,300,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897,0.17617365
NTT DoCoMo Sigmarion III.,01-06-03,2003.416667,301,3,0.031220435,0.000523305,0.199635034,0.237410072,0.284552846,0.222222222,0.497953615,0.278688525,0.095574086,0.10746633,0.091594828,0.165320545
Qtek 7070 (HTC Tanager),01-06-03,2003.416667,302,0,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655,0.210499748
Sony Clie PEG-NX73V,01-06-03,2003.416667,303,0,0.00778222,0.000523305,0.099589413,0.151079137,0.154471545,0.142857143,0.178444748,0.338114754,0.100705581,0.034687279,0.036637931,0.273094397
Sony Clie PEG-NX80V,01-06-03,2003.416667,304,0,0.015594958,0.000523305,0.099589413,0.151079137,0.154471545,0.142857143,0.178444748,0.338114754,0.100705581,0.034687279,0.037715517,0.273094397
Symbol PPT 8800w,01-06-03,2003.416667,305,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.205457026,0.397540984,0.168697883,0.073399996,0.054956897,0.17617365
ViewSonic Pocket PC V36,01-06-03,2003.416667,306,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.192360164,0.319672131,0.050673509,0.019870244,0.016594828,0.17617365
Hewlett-Packard iPAQ H5150 / H5155,01-07-03,2003.5,307,0,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.364754098,0.062860808,0.029783954,0.02737069,0.152195861
Hewlett-Packard iPAQ H5550 / H5555,01-07-03,2003.5,308,0,0.062471389,0.00078547,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.364754098,0.062860808,0.029783954,0.031681034,0.152195861
Hitachi SH-G1000,01-07-03,2003.5,309,0,0.015594958,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.211459754,0.401639344,0.108402822,0.05136715,0.038362069,0.17617365
Palm Tungsten T2,01-07-03,2003.5,310,0,0.015594958,0.000130058,0.071576639,0.09352518,0.089430894,0.142857143,0.186903138,0.217213115,0.057087877,0.032075027,0.020905172,0.058556285
CyberBank Triton  0885 / 1880,01-08-03,2003.583333,311,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.450819672,0.100705581,0.025266043,0.029956897,0.225391217
CyberBank Triton 0880,01-08-03,2003.583333,312,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.450819672,0.100705581,0.023874269,0.024568966,0.291771832
Samsung SCH-M400,01-08-03,2003.583333,313,0,0.031220435,0.001047635,0.149612223,0.129496403,0.056910569,0.142857143,0.175989086,0.340163934,0.077613855,0.027086054,0.031681034,0.17617365
T-Mobile MDA II (HTC Himalaya),01-08-03,2003.583333,314,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
Dell Axim X3 Advanced,01-09-03,2003.666667,315,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.192905866,0.278688525,0.057087877,0.026400874,0.032758621,0.17617365
